iter	Passed	Remaining
257	1349	1266
258	1354	1260
259	1359	1254
260	1364	1249
261	1369	1243
262	1374	1238
263	1379	1233
264	1385	1228
265	1390	1222
266	1395	1217
267	1399	1211
268	1405	1206
269	1410	1201
270	1415	1196
271	1422	1192
272	1426	1186
273	1431	1181
274	1436	1175
275	1441	1170
276	1446	1164
277	1452	1160
278	1457	1154
279	1462	1148
280	1467	1143
281	1472	1138
282	1477	1132
283	1482	1127
284	1487	1122
285	1492	1116
286	1496	1110
287	1501	1105
288	1507	1100
289	1512	1094
290	1517	1089
291	1522	1084
292	1527	1078
293	1531	1073
294	1537	1068
295	1542	1062
296	1547	1057
297	1551	1051
298	1557	1046
299	1561	1041
300	1566	1035
301	1571	1030
302	1576	1025
303	1581	1019
304	1586	1014
305	1592	1009
306	1596	1003
307	1601	998
308	1607	993
309	1612	988
310	1616	982
311	1621	977
312	1626	971
313	1631	966
314	1636	961
315	1641	956
316	1646	950
317	1651	945
318	1656	940
319	1661	934
320	1667	929
321	1680	929
322	1693	927
323	1702	925
324	1709	920
325	1715	915
326	1727	914
327	1733	908
328	1738	903
329	1743	898
330	1748	892
331	1753	887
332	1758	881
333	1763	876
334	1768	870
335	1773	865
336	1779	860
337	1783	855
338	1788	849
339	1794	844
340	1798	838
341	1803	833
342	1808	827
343	1813	822
344	1818	817
345	1823	811
346	1828	806
347	1833	800
348	1838	795
349	1843	789
350	1848	784
351	1853	779
352	1859	774
353	1864	768
354	1869	763
355	1874	758
356	1879	753
357	1884	747
358	1890	742
359	1895	736
360	1899	731
361	1904	726
362	1910	720
363	1915	715
364	1920	710
365	1926	705
366	1930	699
367	1935	694
368	1940	688
369	1945	683
370	1950	678
371	1955	672
372	1960	667
373	1964	661
374	1970	656
375	1975	651
376	1980	646
377	1985	640
378	1990	635
379	1995	630
380	2000	624
381	2006	619
382	2011	614
383	2017	609
384	2022	603
385	2027	598
386	2032	593
387	2036	587
388	2041	582
389	2046	577
390	2052	572
391	2056	566
392	2061	561
393	2066	556
394	2071	550
395	2076	545
396	2081	539
397	2085	534
398	2090	529
399	2095	523
400	2101	518
401	2106	513
402	2112	508
403	2117	503
404	2123	498
405	2128	492
406	2133	487
407	2137	482
408	2143	476
409	2149	471
410	2153	466
411	2158	461
412	2164	455
413	2169	450
414	2174	445
415	2178	439
416	2183	434
417	2188	429
418	2193	424
419	2198	418
420	2203	413
421	2208	408
422	2213	402
423	2218	397
424	2223	392
425	2228	387
426	2233	381
427	2238	376
428	2243	371
429	2248	365
430	2253	360
431	2258	355
432	2262	350
433	2267	344
434	2272	339
435	2277	334
436	2282	329
437	2287	323
438	2291	318
439	2296	313
440	2302	308
441	2306	302
442	2311	297
443	2316	292
444	2321	286
445	2326	281
446	2331	276
447	2335	271
448	2341	265
449	2346	260
450	2351	255
451	2355	250
452	2360	244
453	2365	239
454	2370	234
455	2375	229
456	2381	224
457	2385	218
458	2391	213
459	2396	208
460	2401	203
461	2406	197
462	2411	192
463	2415	187
464	2420	182
465	2426	177
466	2431	171
467	2436	166
468	2442	161
469	2447	156
470	2451	150
471	2457	145
472	2462	140
473	2466	135
474	2471	130
475	2476	124
476	2481	119
477	2486	114
478	2491	109
479	2496	104
480	2501	98
481	2506	93
482	2511	88
483	2516	83
484	2521	77
485	2526	72
486	2530	67
487	2536	62
488	2540	57
489	2545	51
490	2550	46
491	2555	41
492	2560	36
493	2565	31
494	2569	25
495	2574	20
496	2580	15
497	2585	10
498	2589	5
499	2595	0
