iter	Logloss
403	0.08575795892
404	0.08565176149
405	0.08551433226
406	0.08531948567
407	0.08522253963
408	0.08491907929
409	0.08473634762
410	0.08455346242
411	0.08432631605
412	0.08421056018
413	0.08409758774
414	0.08385214551
415	0.08366161757
416	0.08358187271
417	0.08338977617
418	0.08323479199
419	0.0831070547
420	0.0829625234
421	0.08271873654
422	0.08247953533
423	0.08225412444
424	0.08210778424
425	0.0819450839
426	0.08177850545
427	0.08160846273
428	0.08140394423
429	0.08115587877
430	0.08107127459
431	0.0808207728
432	0.080604373
433	0.0804611166
434	0.08034761684
435	0.08024387577
436	0.08012747911
437	0.07999495592
438	0.07986229257
439	0.07971039219
440	0.07964485816
441	0.07961745775
442	0.07939245403
443	0.0791774693
444	0.07906171343
445	0.07888956813
446	0.0786544653
447	0.07855433533
448	0.07840796176
449	0.07818540104
450	0.07803649101
451	0.07785740383
452	0.0777185128
453	0.07764974145
454	0.07749298843
455	0.07730719299
456	0.07712431446
457	0.07696757479
458	0.07685225946
459	0.07673529544
460	0.07662066095
461	0.07648297141
462	0.0763561686
463	0.07623169533
464	0.07611011896
465	0.07597529961
466	0.07583906519
467	0.07570522038
468	0.07555822604
469	0.07544124199
470	0.07535569666
471	0.07519161461
472	0.07499995194
473	0.07493794225
474	0.07484649632
475	0.07467431096
476	0.07461207432
477	0.07428031915
478	0.07413794383
479	0.07403671919
480	0.0739352943
481	0.07382352333
482	0.07370117935
483	0.0735463487
484	0.07341118226
485	0.0732492562
486	0.07306641773
487	0.07293416822
488	0.07277953781
489	0.07263200948
490	0.07248681069
491	0.0723871413
492	0.0722936929
493	0.07217887818
494	0.07203191055
495	0.07187175334
496	0.07178160233
497	0.07164484727
498	0.07155380182
499	0.0714471772
